Year Month AnnAnom
1982 12 0.183
1983 1 0.187
1983 2 0.213
1983 3 0.235
1983 4 0.237
1983 5 0.251
1983 6 0.235
1983 7 0.219
1983 8 0.194
1983 9 0.187
1983 10 0.173
1983 11 0.171
1983 12 0.16
1984 1 0.15
1984 2 0.133
1984 3 0.117
1984 4 0.113
1984 5 0.089
1984 6 0.068
1984 7 0.068
1984 8 0.06
1984 9 0.051
1984 10 0.05
1984 11 0.033
1984 12 0.038
1985 1 0.033
1985 2 0.036
1985 3 0.031
1985 4 0.032
1985 5 0.037
1985 6 0.055
1985 7 0.05
1985 8 0.081
1985 9 0.087
1985 10 0.1
1985 11 0.107
1985 12 0.103
1986 1 0.114
1986 2 0.112
1986 3 0.105
1986 4 0.107
1986 5 0.11
1986 6 0.107
1986 7 0.115
1986 8 0.113
1986 9 0.108
1986 10 0.106
1986 11 0.11
1986 12 0.132
1987 1 0.159
1987 2 0.169
1987 3 0.19
1987 4 0.203
1987 5 0.214
1987 6 0.241
1987 7 0.259
1987 8 0.262
1987 9 0.283
1987 10 0.299
1987 11 0.309
1987 12 0.315
1988 1 0.305
1988 2 0.314
1988 3 0.317
1988 4 0.318
1988 5 0.305
1988 6 0.285
1988 7 0.245
1988 8 0.238
1988 9 0.225
1988 10 0.212
1988 11 0.185
1988 12 0.161
1989 1 0.159
1989 2 0.15
1989 3 0.147
1989 4 0.148
1989 5 0.155
1989 6 0.167
1989 7 0.197
1989 8 0.2
1989 9 0.236
1989 10 0.26
1989 11 0.294
1989 12 0.317
1990 1 0.329
1990 2 0.332
1990 3 0.328
1990 4 0.336
1990 5 0.359
1990 6 0.36
1990 7 0.359
1990 8 0.368
1990 9 0.339
1990 10 0.336
1990 11 0.328
1990 12 0.337
1991 1 0.341
1991 2 0.35
1991 3 0.364
1991 4 0.357
1991 5 0.348
1991 6 0.344
1991 7 0.351
1991 8 0.347
1991 9 0.354
1991 10 0.335
1991 11 0.328
1991 12 0.309
1992 1 0.28
1992 2 0.252
1992 3 0.215
1992 4 0.192
1992 5 0.169
1992 6 0.158
1992 7 0.151
1992 8 0.147
1992 9 0.14
1992 10 0.141
1992 11 0.137
1992 12 0.136
1993 1 0.145
1993 2 0.151
1993 3 0.167
1993 4 0.185
1993 5 0.192
1993 6 0.19
1993 7 0.18
1993 8 0.153
1993 9 0.15
1993 10 0.156
1993 11 0.16
1993 12 0.173
1994 1 0.175
1994 2 0.178
1994 3 0.191
1994 4 0.206
1994 5 0.231
1994 6 0.244
1994 7 0.262
1994 8 0.316
1994 9 0.326
1994 10 0.335
1994 11 0.335
1994 12 0.337
1995 1 0.355
1995 2 0.382
1995 3 0.386
1995 4 0.39
1995 5 0.394
1995 6 0.389
1995 7 0.374
1995 8 0.36
1995 9 0.358
1995 10 0.35
1995 11 0.346
1995 12 0.328
1996 1 0.315
1996 2 0.314
1996 3 0.306
1996 4 0.282
1996 5 0.279
1996 6 0.292
1996 7 0.295
1996 8 0.282
1996 9 0.293
1996 10 0.297
1996 11 0.308
1996 12 0.338
1997 1 0.34
1997 2 0.334
1997 3 0.357
1997 4 0.397
1997 5 0.419
1997 6 0.434
1997 7 0.457
1997 8 0.495
1997 9 0.505
1997 10 0.53
1997 11 0.558
1997 12 0.573
1998 1 0.602
1998 2 0.627
1998 3 0.621
1998 4 0.604
1998 5 0.587
1998 6 0.587
1998 7 0.576
1998 8 0.561
1998 9 0.536
1998 10 0.505
1998 11 0.47
1998 12 0.44
1999 1 0.413
1999 2 0.381
1999 3 0.379
1999 4 0.373
1999 5 0.366
1999 6 0.354
1999 7 0.342
1999 8 0.336
1999 9 0.352
1999 10 0.371
1999 11 0.378
1999 12 0.38
2000 1 0.38
2000 2 0.39
2000 3 0.39
2000 4 0.381
2000 5 0.377
2000 6 0.365
2000 7 0.38
2000 8 0.372
2000 9 0.375
2000 10 0.374
2000 11 0.389
2000 12 0.4
2001 1 0.416
2001 2 0.416
2001 3 0.425
2001 4 0.445
2001 5 0.479
2001 6 0.507
2001 7 0.53
2001 8 0.55
2001 9 0.577
2001 10 0.583
2001 11 0.59
2001 12 0.591
2002 1 0.591
2002 2 0.596
2002 3 0.605
2002 4 0.612
2002 5 0.599
2002 6 0.587
2002 7 0.588
2002 8 0.577
2002 9 0.548
2002 10 0.544
2002 11 0.542
2002 12 0.536
2003 1 0.534
2003 2 0.542
2003 3 0.543
2003 4 0.554
2003 5 0.551
2003 6 0.572
2003 7 0.559
2003 8 0.569
2003 9 0.572
2003 10 0.575
2003 11 0.554
2003 12 0.547
2004 1 0.523
2004 2 0.506
2004 3 0.493
2004 4 0.481
2004 5 0.494
2004 6 0.474
2004 7 0.487
2004 8 0.483
2004 9 0.497
2004 10 0.507
2004 11 0.533
2004 12 0.554
2005 1 0.583
2005 2 0.598
2005 3 0.616
2005 4 0.633
2005 5 0.636
2005 6 0.655
2005 7 0.645
2005 8 0.658
2005 9 0.65
2005 10 0.636
2005 11 0.624
2005 12 0.621
2006 1 0.61
2006 2 0.62
2006 3 0.611
2006 4 0.604
2006 5 0.603
2006 6 0.608
2006 7 0.636
2006 8 0.631
2006 9 0.633
2006 10 0.655
2006 11 0.667
2006 12 0.662
2007 1 0.674
2007 2 0.662
2007 3 0.658
2007 4 0.652
2007 5 0.643
2007 6 0.617
2007 7 0.559
2007 8 0.524
2007 9 0.521
2007 10 0.499
2007 11 0.487
2007 12 0.479
2008 1 0.476
2008 2 0.464
2008 3 0.47
2008 4 0.475
2008 5 0.479
2008 6 0.484
2008 7 0.518
2008 8 0.536
2008 9 0.522
2008 10 0.527
2008 11 0.534
2008 12 0.549
2009 1 0.565
2009 2 0.584
2009 3 0.589
2009 4 0.589
2009 5 0.599
2009 6 0.615
2009 7 0.623
2009 8 0.65
2009 9 0.684
2009 10 0.71
2009 11 0.722
2009 12 0.722
2010 1 0.709
2010 2 0.706
2010 3 0.699
2010 4 0.702
2010 5 0.702
2010 6 0.684
2010 7 0.665
2010 8 0.638
2010 9 0.617
2010 10 0.594
2010 11 0.575
2010 12 0.571
2011 1 0.584
2011 2 0.593
2011 3 0.589
2011 4 0.582
2011 5 0.564
2011 6 0.569
2011 7 0.56
2011 8 0.556
2011 9 0.541
2011 10 0.546
2011 11 0.565
2011 12 0.566
2012 1 0.547
2012 2 0.538
2012 3 0.55
2012 4 0.565
2012 5 0.584
2012 6 0.581
2012 7 0.601
2012 8 0.607
2012 9 0.62
2012 10 0.61
2012 11 0.599
2012 12 0.599
2013 1 0.604
2013 2 0.605
2013 3 0.607
2013 4 0.594
2013 5 0.596
2013 6 0.607
2013 7 0.611
2013 8 0.606
2013 9 0.613
2013 10 0.63
2013 11 0.648
2013 12 0.648
2014 1 0.647
2014 2 0.661
2014 3 0.669
2014 4 0.682
2014 5 0.665
2014 6 0.669
2014 7 0.674
2014 8 0.701
2014 9 0.712
2014 10 0.71
2014 11 0.706
2014 12 0.716
2015 1 0.728
2015 2 0.725
2015 3 0.724
2015 4 0.745
2015 5 0.778
2015 6 0.808
2015 7 0.839
2015 8 0.876
2015 9 0.91
2015 10 0.937
2015 11 0.953
2015 12 0.953
2016 1 0.963
2016 2 0.978
2016 3 0.98
2016 4 0.968
2016 5 0.963
2016 6 0.946
2016 7 0.933
2016 8 0.918
2016 9 0.91
2016 10 0.899
2016 11 0.894
2016 12 0.885
2017 1 0.879
2017 2 0.865
2017 3 0.848
2017 4 0.839
2017 5 0.828
2017 6 0.829
2017 7 0.811
2017 8 0.79
2017 9 0.764
2017 10 0.759
2017 11 0.749
2017 12 0.756
